AUTHOR,TITLE,SERIES,NARATOR
Adrian Tchaikovsky,Children of Time,"The Children of Time Novels, Book 1",Mel Hudson
Agatha Christie,The Mysterious Affair at Styles,"Hercule Poirot, Book 1",David Suchet
Aleksandr Ivanovich Kuprin,Povesti i rasskazy,,"V. Gerasimov , V. Maksimov , I. Prudovskiy , V. Samoylov"
Aleron Kong,The Land: Founding: A LitRPG Saga,"Chaos Seeds, Book 1",Nick Podehl
Aleron Kong,The Land: Alliances: A LitRPG Saga,"Chaos Seeds, Book 3",Nick Podehl
Alexander McCall Smith,The No. 1 Ladies' Detective Agency,"The No. 1 Ladies Detective Agency, Book 1",Lisette Lecat
Alexandre Dumas,The Three Musketeers,"D'Artagnan, Book 1",Simon Vance
Alexandre Dumas,The Count of Monte Cristo,,John Lee
Alfred Lansing,Endurance,,Simon Prebble
Andrew Peterson,First to Kill,"Nathan McBride, Book 1",Dick Hill
Andrew Peterson,Forced to Kill,"Nathan McBride, Book 2",Dick Hill
Andrew Rowe,Sufficiently Advanced Magic,"Arcane Ascension, Book 1",Nick Podehl
Andrzej Sapkowski,Sword of Destiny,The Witcher Saga,Peter Kenny
Andrzej Sapkowski,The Last Wish,The Witcher Saga,Peter Kenny
Andy Weir,Artemis,,Rosario Dawson
Andy Weir,"James Moriarty, Consulting Criminal",,Graeme Malcolm
Andy Weir,The Martian,,R. C. Bray
Anne McCaffrey,Dragonflight,"Original Dragonriders of Pern, Book 1, Pern Novels [chronological order], Book 14, Pern Novels [publication order], Book 1",Dick Hill
Anne McCaffrey,Dragonsong,"Pern: Harper Hall Trilogy, Book 1, Pern Novels [chronological order], Book 16, Pern Novels [publication order], Book 3",Sally Darling
Arthur C. Clarke,2001,"Space Odyssey Series, Book 1",Dick Hill
Arthur Conan Doyle,The Adventure of the Blue Carbuncle,,Alan Cumming
Arthur Conan Doyle,The Complete Stories of Sherlock Holmes,,Charlton Griffin
Arthur Conan Doyle,The Lost World,,Glen McCready
Astrid Lindgren,Pippi Longstocking,,Christina Moore
Audible Originals,Twain’s Feast,,Nick Offerman
B. V. Larson,Swarm,"Star Force, Book 1",Mark Boyett
"Ben Acker , Ben Blacker",Cut and Run,,"Meg Ryan , D’Arcy Carden , Sam Richardson , Rachel Bloom , Ed Begley Jr. , Thomas Lennon , Eugene Cordero , full cast"
"Billy Crystal , Quinton Peeples",Have a Nice Day,,"Justin Bartha , Annette Bening , Dick Cavett , Auli'l Cravalho , Billy Crystal , Rachel Dratch , Darrell Hammond , Christopher Jackson , Kevin Kline , Robin Thede , full cast"
Bram Stoker,Dracula,,"Alan Cumming , Tim Curry , Simon Vance , Katherine Kellgren , Susan Duerden , John Lee , Graeme Malcolm , Steven Crossley"
Brandon Sanderson,Legion,"Legion, Book 1",Oliver Wyman
Brandon Sanderson,The Final Empire,"Mistborn, Book 1",Michael Kramer
Brandon Sanderson,The Well of Ascension,"Mistborn, Book 2",Michael Kramer
Brandon Sanderson,The Hero of Ages,"Mistborn, Book 3",Michael Kramer
Brandon Sanderson,Steelheart,"Reckoners, Book 1",MacLeod Andrews
Brandon Sanderson,Firefight,"Reckoners, Book 2",MacLeod Andrews
