Added,Cover,Sample,Web Player,Search In Goodreads,Title,Title Short,Series,Book Numbers,Blurb,Authors,Narrators,Tags,Categories,Parent Category,Child Category,Length,Progress,Release Date,Publishers,My Rating,Rating,Ratings,Favorite,Format,Language,Whispersync,From Plus Catalog,Unavailable,Archived,Downloaded,Store Page Changed,Store Page Missing,ASIN,ISBN10,ISBN13,Summary,People Also Bought,Subtitle,Collection Ids
397,"=HYPERLINK(""https://audible.com/pd/B00I2VWW5U?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51IM+e-toYL._SL75_.jpg""))",,"=HYPERLINK(""https://www.audible.com/webplayer?asin=B00I2VWW5U""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Pierce%20Brown%20-%20Red%20Rising""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B00I2VWW5U?ipRedirectOverride=true&overrideBaseCountry=true"";""Red Rising"")","=HYPERLINK(""https://audible.com/pd/B00I2VWW5U?ipRedirectOverride=true&overrideBaseCountry=true"";""Red Rising"")",Red Rising (book 1),'1,"Darrow belongs to the Reds, who toil at the mercy of the Golds. When he uncovers a deception, he must start a revolution.",Pierce Brown,Tim Gerard Reynolds,"Adventure, Dystopian, Fantasy, Fiction, Goodreads Choice Award, Science Fiction, Series Essentials, Solar System, Funny, Feel-Good, Mind-Bending, Suspenseful",Science Fiction & Fantasy > Fantasy,Science Fiction & Fantasy,Fantasy,"'16h 12m ",',2014-01-28,Recorded Books,'3,'4.7,'77923,,Unabridged Audiobook,English,available,,,,,,,'B00I2VWW5U,'0593871529,'9780593871522,"<p>Darrow is a Red, a member of the lowest caste in the color-coded society of the future. Like his fellow Reds, he works all day, believing that he and his people are making the surface of Mars livable for future generations. Yet he spends his life willingly, knowing that his blood and sweat will one day result in a better world for his children. But Darrow and his kind have been betrayed. Soon he discovers that humanity reached the surface generations ago. Vast cities and sprawling parks spread across the planet. </p> <p>Darrow - and Reds like him - are nothing more than slaves to a decadent ruling class. Inspired by a longing for justice, and driven by the memory of lost love, Darrow sacrifices everything to infiltrate the legendary Institute, a proving ground for the dominant Gold caste, where the next generation of humanity's overlords struggle for power. He will be forced to compete for his life and the very future of civilization against the best and most brutal of Society's ruling class. There, he will stop at nothing to bring down his enemies...even if it means he has to become one of them to do so. </p>",,,
396,"=HYPERLINK(""https://audible.com/pd/B00WRHY15Y?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/512eb736XCL._SL75_.jpg""))",,"=HYPERLINK(""https://www.audible.com/webplayer?asin=B00WRHY15Y""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Sarah%20J.%20Maas%20-%20A%20Court%20of%20Thorns%20and%20Roses""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B00WRHY15Y?ipRedirectOverride=true&overrideBaseCountry=true"";""A Court of Thorns and Roses"")","=HYPERLINK(""https://audible.com/pd/B00WRHY15Y?ipRedirectOverride=true&overrideBaseCountry=true"";""A Court of Thorns and Roses"")",A Court of Thorns and Roses (book 1),'1,"From #1 New York Times bestselling author Sarah J. Maas comes a seductive, breathtaking book that blends romance, adventure, and faerie lore into an unforgettable audiobook.",Sarah J. Maas,Jennifer Ikeda,"Epic, Epic Fantasy, Fairy Tales, Fantasy, Fiction, Literature & Fiction, Magic, Paranormal, Paranormal & Urban, Romance, Romance Essentials, Romantasy, Series Essentials, Suspenseful",Science Fiction & Fantasy > Fantasy,Science Fiction & Fantasy,Fantasy,"'16h 7m ",',2015-05-05,Recorded Books,','4.6,'77515,,Unabridged Audiobook,English,available,,,,,,,'B00WRHY15Y,'1526634244,'9781526634245,"<p>#1 BESTSELLING GLOBAL PHENOMENON<br> <br> From #1 New York Times bestselling author Sarah J. Maas comes a seductive, breathtaking book that blends romance, adventure, and faerie lore into an unforgettable audiobook.<br> <br> When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.<br> <br> At least, he’s not a beast all the time.<br> <br> As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she’s been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it or doom Tamlin—and his world—forever.</p>",,,
395,"=HYPERLINK(""https://audible.com/pd/B09S2KS68J?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51393aqwtuL._SL75_.jpg""))",,"=HYPERLINK(""https://www.audible.com/webplayer?asin=B09S2KS68J""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=James%20J.%20Butcher%20-%20Dead%20Man's%20Hand""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B09S2KS68J?ipRedirectOverride=true&overrideBaseCountry=true"";""Dead Man's Hand: The Unorthodox Chronicles, Book 1"")","=HYPERLINK(""https://audible.com/pd/B09S2KS68J?ipRedirectOverride=true&overrideBaseCountry=true"";""Dead Man's Hand"")",Unorthodox Chronicles (book 1),'1,"On the streets of Boston, the world is divided into the ordinary Usuals, and the paranormal Unorthodox. And in the Department of Unorthodox Affairs, the Auditors are the magical elite....",James J. Butcher,James Patrick Cronin,"Action & Adventure, Contemporary, Fantasy, Paranormal & Urban, Urban, Magic, Paranormal, Fiction, Magic Users, Witchcraft, Suspense",Science Fiction & Fantasy > Fantasy,Science Fiction & Fantasy,Fantasy,"'11h 10m ",',2022-10-11,Penguin Audio,','4.5,'2057,,Unabridged Audiobook,English,available,,,,,,,'B09S2KS68J,'0593440412,'9780593440414,"<p><b>In the tradition of his renowned father, James J. Butcher’s debut novel is a brilliant urban fantasy about a young man who must throw out the magical rule book to solve the murder of his former mentor. </b></p> <p>On the streets of Boston, the world is divided into the ordinary Usuals, and the paranormal Unorthodox. And in the Department of Unorthodox Affairs, the Auditors are the magical elite, government-sanctioned witches with spells at their command and all the power and prestige that comes with it. Grimshaw Griswald Grimsby is…not one of those witches.</p> <p>After flunking out of the Auditor training program and being dismissed as “not Department material,” Grimsby tried to resign himself to life as a mediocre witch. But he can’t help hoping he’ll somehow, someway, get another chance to prove his skill. That opportunity comes with a price when his former mentor, aka the most dangerous witch alive, is murdered down the street from where he works, and Grimsby is the Auditors’ number one suspect.</p> <p>Proving his innocence will require more than a little legwork, and after forming a strange alliance with the retired legend known as the Huntsman and a mysterious being from Elsewhere, Grimsby is abruptly thrown into a life of adventure, whether he wants it or not. Now all he has to do is find the real killer, avoid the Auditors on his trail, and most importantly, <i>stay alive</i>.</p>",,"The Unorthodox Chronicles, Book 1",
394,"=HYPERLINK(""https://audible.com/pd/B00ANTXI7A?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/512tsN3t5gL._SL75_.jpg""))",,"=HYPERLINK(""https://www.audible.com/webplayer?asin=B00ANTXI7A""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=John%20Scalzi%20-%20We%20Only%20Need%20the%20Heads""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B00ANTXI7A?ipRedirectOverride=true&overrideBaseCountry=true"";""We Only Need the Heads: The Human Division, Episode 3"")","=HYPERLINK(""https://audible.com/pd/B00ANTXI7A?ipRedirectOverride=true&overrideBaseCountry=true"";""We Only Need the Heads"")",The Human Division (book 3),'3,CDF Lieutenant Harry Wilson has been loaned out to a CDF platoon tasked with secretly removing an unauthorized colony of humans on an alien world....,John Scalzi,William Dufris,"Adventure, First Contact, Military, Science Fiction, Space Opera, Fiction, War",Science Fiction & Fantasy > Science Fiction,Science Fiction & Fantasy,Science Fiction,"'1h 6m ",',2013-01-29,Audible Studios,','4.4,'1190,,Unabridged Audiobook,English,available,,,,,,,'B00ANTXI7A,'1466830530,'9781466830530,"<p>CDF Lieutenant Harry Wilson has been loaned out to a CDF platoon tasked with secretly removing an unauthorized colony of humans on an alien world. Colonial Ambassador Abumwe has been ordered to participate in final negotiations with an alien race the Union hopes to make allies. Wilson and Abumwe’s missions are fated to cross - and in doing so, place both missions at risk of failure. </p> <p><i>We Only Need the Heads</i> is a tale from John Scalzi's <i>The Human Division</i>, a series of self-contained but interrelated short stories set in the <i>Old Man's War</i> universe.</p>",,"The Human Division, Episode 3",
393,"=HYPERLINK(""https://audible.com/pd/B097CHS1L2?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/61t5iG03oUS._SL75_.jpg""))",,"=HYPERLINK(""https://www.audible.com/webplayer?asin=B097CHS1L2""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Alexis%20Daria%20-%20What%20the%20Hex""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B097CHS1L2?ipRedirectOverride=true&overrideBaseCountry=true"";""What the Hex"")","=HYPERLINK(""https://audible.com/pd/B097CHS1L2?ipRedirectOverride=true&overrideBaseCountry=true"";""What the Hex"")",Audible Original Stories (book ),'∞,"When Catalina Cartagena returns home for her older sister’s wedding, she’s shocked to discover that her soon-to-be brother in law is possessed by a demon. To make matters worse, everyone else seems to be under the demon's spell - except for Diego Paz....",Alexis Daria,Jacqueline Grace Lopez,"Latino & Hispanic Creators, Magic, Paranormal, Paranormal Romance, Romance, Magic Users, Feel-Good, Witchcraft, Funny",Romance > Paranormal,Romance,Paranormal,"'2h 45m ",'1h 19m left,2021-07-01,Audible Originals,','4.3,'3914,,Original Recording Audiobook,English,,true,,,,,,'B097CHS1L2,'1641972416,'9781641972413,"<p><b><i>Welcome to Isla Bruja, a secret magical enclave near Miami and home to the richest and most powerful Latinx witch families.</i></b></p> <p>When Catalina Cartagena returns home for her older sister’s wedding, she’s shocked to discover that her soon-to-be brother in law is possessed by a demon. To make matters worse, everyone else seems to be under the demon's spell - except for Diego Paz, younger brother of the groom and Cat’s childhood rival. </p> <p>With only three days until the wedding, Cat must join forces with her sexy nemesis to break the spell and defeat the demon. If they fail, demonic forces will control two of the most powerful witch families on Isla Bruja.</p> <p>There’s only one bed at the magical B&amp;B, and it’s time for these witches to get wicked...in more ways than one.</p>",,,__AYCL
392,"=HYPERLINK(""https://audible.com/pd/B0B1VTLTD3?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51cg5nPSx5L._SL75_.jpg""))",,"=HYPERLINK(""https://www.audible.com/webplayer?asin=B0B1VTLTD3""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Ben%20H.%20Winters%20-%20Self%20Help""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B0B1VTLTD3?ipRedirectOverride=true&overrideBaseCountry=true"";""Self Help"")","=HYPERLINK(""https://audible.com/pd/B0B1VTLTD3?ipRedirectOverride=true&overrideBaseCountry=true"";""Self Help"")",Audible Original Stories (book ),'∞,"A darkly comedic thriller by the New York Times best-selling author of Underground Airlines, The Last Policeman, and the Audible Originals Q&A....",Ben H. Winters,"Wil Wheaton, Ron Perlman","Science Fiction, Funny, Witty, Suspenseful, Scary",Science Fiction & Fantasy > Science Fiction,Science Fiction & Fantasy,Science Fiction,"'3h 46m ",'Finished,2022-05-26,Audible Originals,','4.3,'5203,,Original Recording Audiobook,English,,true,,,,,,'B0B1VTLTD3,,,"<p><b>A darkly comedic thriller by the </b><b><i>New York Times</i></b><b> best-selling author of </b><b><i>Underground Airlines</i></b><b>, </b><b><i>The Last Policeman</i></b><b>, and the Audible Originals </b><b><i>Q&amp;A</i></b><b> and </b><b><i>Inside Jobs</i></b><b>.</b></p> <p>Jack Diller is just one more struggling actor on the road to nowhere. He’s got an agent who barely remembers his name, his ex-girlfriend has hooked up with a Silicon Valley dude, and the milk in his fridge is so far past its sell-by date it’s historic. The only way Jack can scrape together a bare existence is by delivering food to exactly the types of successful people he wishes he could be.</p> <p>Then, one day, a very strange audiobook shows up on his phone. <i>The Killer Instinct</i> seems to be your basic self-help guide, narrated by a washed-up action star named Hector Bruno, and brimming with cheesy advice for how to get your life together.</p> <p>With so little to lose, Jack starts listening...and listening some more. He starts talking to Hector like he’s his best friend.</p> <p>And then...Hector starts talking back.</p>",,,__AYCL
391,"=HYPERLINK(""https://audible.com/pd/1774240327?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51TRDvbGAtL._SL75_.jpg""))",,"=HYPERLINK(""https://www.audible.com/webplayer?asin=1774240327""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=pirateaba%20-%20The%20Wandering%20Inn""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/1774240327?ipRedirectOverride=true&overrideBaseCountry=true"";""The Wandering Inn: The Wandering Inn, Book 1"")","=HYPERLINK(""https://audible.com/pd/1774240327?ipRedirectOverride=true&overrideBaseCountry=true"";""The Wandering Inn"")",The Wandering Inn (book 1),'1,"""No killing Goblins."" So reads the sign outside of The Wandering Inn, a small building run by a young woman named Erin Solstice. She serves pasta with sausage, blue fruit juice, and dead acid flies on request. And she comes from another world. Ours.",pirateaba,Andrea Parsneau,"Action & Adventure, Epic, Epic Fantasy, Fantasy, Fiction, Paranormal, Paranormal & Urban, Sword & Sorcery, Feel-Good, Witty",Science Fiction & Fantasy > Fantasy,Science Fiction & Fantasy,Fantasy,"'48h 7m ",',2019-09-10,Podium Audio,','4.4,'12983,,Unabridged Audiobook,English,,true,,,,,,'1774240327,,,"<p><b><i>The Wandering Inn</i></b><b>, Book 1, has been rewritten by pirateaba and re-recorded by Andrea Parsneau. This revised edition includes new scenes and perspectives.</b></p> <p>""No killing Goblins.""</p> <p>So reads the sign outside of The Wandering Inn, a small building run by a young woman named Erin Solstice. She serves pasta with sausage, blue fruit juice, and dead acid flies on request. And she comes from another world. Ours.</p> <p>It's a bad day when Erin finds herself transported to a fantastical world and nearly gets eaten by a Dragon. She doesn't belong in a place where monster attacks are a fact of life, and where Humans are one species among many. But she must adapt to her new life. Or die.</p> <p>In a dangerous world where magic is real and people can level up and gain classes, Erin Solstice must battle somewhat evil Goblins, deadly Rock Crabs, and hungry [Necromancers]. She is no warrior, no mage. Erin Solstice runs an inn. She's an [Innkeeper].</p> <p><b>PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio.</b></p>",,"The Wandering Inn, Book 1",__AYCL
390,"=HYPERLINK(""https://audible.com/pd/1549119788?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51vDppBbuKL._SL75_.jpg""))",,"=HYPERLINK(""https://www.audible.com/webplayer?asin=1549119788""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Adrian%20Tchaikovsky%20-%20Children%20of%20Ruin""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/1549119788?ipRedirectOverride=true&overrideBaseCountry=true"";""Children of Ruin"")","=HYPERLINK(""https://audible.com/pd/1549119788?ipRedirectOverride=true&overrideBaseCountry=true"";""Children of Ruin"")",Children of Time (book 2),'2,"The astonishing sequel to Children of Time, the award-winning novel of humanity's battle for survival on a terraformed planet. Thousands of years ago, Earth's terraforming program took to the stars. On the world they called Nod, scientists discovered alien life -- but it was their mission to...",Adrian Tchaikovsky,Mel Hudson,"First Contact, Genetic Engineering, Hard Science Fiction, Science Fiction, Space Exploration, Space Opera, Fiction, Interstellar",Science Fiction & Fantasy > Science Fiction,Science Fiction & Fantasy,Science Fiction,"'15h 26m ",'8h 29m left,2019-05-14,Hachette Audio,','4.5,'8903,,Unabridged Audiobook,English,available,,,,,,,'1549119788,'1509865861,'9781509865864,"<b>The astonishing sequel to <i>Children of Time</i>, the award-winning novel of humanity's battle for survival on a terraformed planet.</b><br><br>Thousands of years ago, Earth's terraforming program took to the stars. On the world they called Nod, scientists discovered alien life -- but it was their mission to overwrite it with the memory of Earth. Then humanity's great empire fell, and the program's decisions were lost to time.<br><br>Aeons later, humanity and its new spider allies detected fragmentary radio signals between the stars. They dispatched an exploration vessel, hoping to find cousins from old Earth.<br><br>But those ancient terraformers woke something on Nod better left undisturbed.",,,
389,"=HYPERLINK(""https://audible.com/pd/B002V8MMPU?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51eSe1t9ojL._SL75_.jpg""))",,"=HYPERLINK(""https://www.audible.com/webplayer?asin=B002V8MMPU""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Jim%20Butcher%20-%20Grave%20Peril""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B002V8MMPU?ipRedirectOverride=true&overrideBaseCountry=true"";""Grave Peril: The Dresden Files, Book 3"")","=HYPERLINK(""https://audible.com/pd/B002V8MMPU?ipRedirectOverride=true&overrideBaseCountry=true"";""Grave Peril"")",The Dresden Files (book 3),'3,Something is stirring up angry apparitions all over town. Something that can break all the laws of supernatural physics. Something that doesnt like Harry....,Jim Butcher,James Marsters,"Contemporary, Fantasy, Paranormal, Paranormal & Urban, Supernatural, Thriller & Suspense, Urban, Demons, Witty","Mystery, Thriller & Suspense > Thriller & Suspense","Mystery, Thriller & Suspense",Thriller & Suspense,"'11h 55m ",'7m left,2008-12-28,Buzzy Multimedia Publishing Corp.,','4.7,'33181,,Unabridged Audiobook,English,available,,,,,,,'B002V8MMPU,'0451462343,'9780451462343,"Harry Blackstone Copperfield Dresden has had a rough couple of weeks. As the only openly practicing professional wizard in the Chicago area, he has squared off against a multitude of supernatural bad guys. Harry has won the day against demons, poltergeists, sorcerers, trolls, vampires, werewolves, and even an evil faerie godmother. You might think nothing could spook him. You would be wrong. <p>Something is stirring up angry apparitions all over town. Something that can break all the laws of supernatural physics. Something that doesnt like Harry. His closest friends are being targeted. The net is closing in. Harry must find a solution soon or find this is one Nightmare from which he will never waken.</p>",,"The Dresden Files, Book 3",
388,"=HYPERLINK(""https://audible.com/pd/B002V189R2?ipRedirectOverride=true&overrideBaseCountry=true""; IMAGE(""https://m.media-amazon.com/images/I/51dE7lwVKIL._SL75_.jpg""))",,"=HYPERLINK(""https://www.audible.com/webplayer?asin=B002V189R2""; IMAGE(""https://i.imgur.com/PdFLCdl.png""; 4; 20; 20))","=HYPERLINK(""https://www.goodreads.com/search?q=Jim%20Butcher%20-%20Summer%20Knight""; IMAGE(""https://i.imgur.com/RPJRqNX.png""; 4; 20; 20))","=HYPERLINK(""https://audible.com/pd/B002V189R2?ipRedirectOverride=true&overrideBaseCountry=true"";""Summer Knight: The Dresden Files, Book 4"")","=HYPERLINK(""https://audible.com/pd/B002V189R2?ipRedirectOverride=true&overrideBaseCountry=true"";""Summer Knight"")",The Dresden Files (book 4),'4,Harry Blackstone Copperfield Dresden is a very powerful wizard and a dedicated private eye. He is also a wise cracking trouble magnet....,Jim Butcher,James Marsters,"Contemporary, Fantasy, Mystery, Paranormal, Paranormal & Urban, Private Investigators, Urban, Fiction, Detective, Witty, Winter","Mystery, Thriller & Suspense > Mystery","Mystery, Thriller & Suspense",Mystery,"'11h 13m ",'6m left,2008-12-28,Buzzy Multimedia Publishing Corp.,','4.8,'30671,,Unabridged Audiobook,English,available,,,,,,,'B002V189R2,,,"Harry Blackstone Copperfield Dresden is a very powerful wizard and a dedicated private eye. He is also a wise cracking trouble magnet. Fueled by a tempest of guilt, sleep deprivation, malnutrition, bad temper and frankly awful personal grooming. Harry is hurtling toward oblivion. According to Harry that is nobody's business but his own. <p>The Winter Queen of Faerie manipulates him into accepting a case to solve a murder and stop a war between the courts of Summer and Winter that could have literally earth shattering consequences. His own soul is up for grabs. Dresden must dig deep to discover that at time a willingness to accept a little help from your friends, be they a cub pack of werewolves, old loves in sheep's clothing, or a battalion of pizza loving dewdrop fairies, is a very good thing.</p>",,"The Dresden Files, Book 4",
